[Epoch 1/3] Step 66/29259 | Loss 2.1139 (avg 2.0225) | Batch 0.12s | Elapsed 12s | ETA 1h 32m 35s | Samples/s 130
[Epoch 1/3] Step 67/29259 | Loss 1.9045 (avg 2.0207) | Batch 0.12s | Elapsed 12s | ETA 1h 32m 6s | Samples/s 131
[Epoch 1/3] Step 68/29259 | Loss 2.0167 (avg 2.0207) | Batch 0.13s | Elapsed 12s | ETA 1h 31m 38s | Samples/s 127
[Epoch 1/3] Step 69/29259 | Loss 1.8855 (avg 2.0187) | Batch 0.12s | Elapsed 12s | ETA 1h 31m 11s | Samples/s 130
[Epoch 1/3] Step 70/29259 | Loss 1.9880 (avg 2.0183) | Batch 0.13s | Elapsed 13s | ETA 1h 30m 45s | Samples/s 127
[Epoch 1/3] Step 71/29259 | Loss 1.8408 (avg 2.0158) | Batch 0.12s | Elapsed 13s | ETA 1h 30m 19s | Samples/s 130
[Epoch 1/3] Step 72/29259 | Loss 1.8290 (avg 2.0132) | Batch 0.12s | Elapsed 13s | ETA 1h 29m 54s | Samples/s 129
[Epoch 1/3] Step 73/29259 | Loss 1.8826 (avg 2.0114) | Batch 0.12s | Elapsed 13s | ETA 1h 29m 29s | Samples/s 130
[Epoch 1/3] Step 74/29259 | Loss 1.9734 (avg 2.0109) | Batch 0.12s | Elapsed 13s | ETA 1h 29m 5s | Samples/s 130
[Epoch 1/3] Step 75/29259 | Loss 1.7945 (avg 2.0080) | Batch 0.12s | Elapsed 13s | ETA 1h 28m 42s | Samples/s 130
[Epoch 1/3] Step 76/29259 | Loss 1.8164 (avg 2.0055) | Batch 0.12s | Elapsed 13s | ETA 1h 28m 19s | Samples/s 129
[Epoch 1/3] Step 77/29259 | Loss 1.9424 (avg 2.0046) | Batch 0.12s | Elapsed 13s | ETA 1h 27m 57s | Samples/s 130
[Epoch 1/3] Step 78/29259 | Loss 2.2277 (avg 2.0075) | Batch 0.12s | Elapsed 14s | ETA 1h 27m 36s | Samples/s 129
[Epoch 1/3] Step 79/29259 | Loss 1.9080 (avg 2.0062) | Batch 0.12s | Elapsed 14s | ETA 1h 27m 15s | Samples/s 129
[Epoch 1/3] Step 80/29259 | Loss 1.9826 (avg 2.0059) | Batch 0.12s | Elapsed 14s | ETA 1h 26m 55s | Samples/s 129
[Epoch 1/3] Step 81/29259 | Loss 1.9974 (avg 2.0058) | Batch 0.12s | Elapsed 14s | ETA 1h 26m 34s | Samples/s 131
[Epoch 1/3] Step 82/29259 | Loss 1.5844 (avg 2.0007) | Batch 0.12s | Elapsed 14s | ETA 1h 26m 15s | Samples/s 131
[Epoch 1/3] Step 83/29259 | Loss 1.9411 (avg 2.0000) | Batch 0.13s | Elapsed 14s | ETA 1h 25m 57s | Samples/s 124
[Epoch 1/3] Step 84/29259 | Loss 1.9640 (avg 1.9996) | Batch 0.12s | Elapsed 14s | ETA 1h 25m 39s | Samples/s 130
[Epoch 1/3] Step 85/29259 | Loss 1.9545 (avg 1.9990) | Batch 0.12s | Elapsed 14s | ETA 1h 25m 21s | Samples/s 129
[Epoch 1/3] Step 86/29259 | Loss 1.7684 (avg 1.9963) | Batch 0.12s | Elapsed 15s | ETA 1h 25m 3s | Samples/s 130
[Epoch 1/3] Step 87/29259 | Loss 2.0518 (avg 1.9970) | Batch 0.13s | Elapsed 15s | ETA 1h 24m 46s | Samples/s 127
[Epoch 1/3] Step 88/29259 | Loss 1.7619 (avg 1.9943) | Batch 0.12s | Elapsed 15s | ETA 1h 24m 30s | Samples/s 129
[Epoch 1/3] Step 89/29259 | Loss 1.8645 (avg 1.9929) | Batch 0.13s | Elapsed 15s | ETA 1h 24m 14s | Samples/s 127
[Epoch 1/3] Step 90/29259 | Loss 2.0217 (avg 1.9932) | Batch 0.12s | Elapsed 15s | ETA 1h 23m 58s | Samples/s 129
[Epoch 1/3] Step 91/29259 | Loss 1.9143 (avg 1.9923) | Batch 0.12s | Elapsed 15s | ETA 1h 23m 42s | Samples/s 129
[Epoch 1/3] Step 92/29259 | Loss 1.9635 (avg 1.9920) | Batch 0.12s | Elapsed 15s | ETA 1h 23m 27s | Samples/s 130
[Epoch 1/3] Step 93/29259 | Loss 2.1551 (avg 1.9937) | Batch 0.12s | Elapsed 15s | ETA 1h 23m 11s | Samples/s 130
[Epoch 1/3] Step 94/29259 | Loss 1.5498 (avg 1.9890) | Batch 0.13s | Elapsed 16s | ETA 1h 22m 57s | Samples/s 127
[Epoch 1/3] Step 95/29259 | Loss 1.9030 (avg 1.9881) | Batch 0.12s | Elapsed 16s | ETA 1h 22m 42s | Samples/s 130
[Epoch 1/3] Step 96/29259 | Loss 1.9597 (avg 1.9878) | Batch 0.12s | Elapsed 16s | ETA 1h 22m 28s | Samples/s 129
[Epoch 1/3] Step 97/29259 | Loss 1.9243 (avg 1.9872) | Batch 0.13s | Elapsed 16s | ETA 1h 22m 15s | Samples/s 127
[Epoch 1/3] Step 98/29259 | Loss 2.4078 (avg 1.9915) | Batch 0.12s | Elapsed 16s | ETA 1h 22m 1s | Samples/s 131
[Epoch 1/3] Step 99/29259 | Loss 1.8801 (avg 1.9903) | Batch 0.12s | Elapsed 16s | ETA 1h 21m 48s | Samples/s 128
[Epoch 1/3] Step 100/29259 | Loss 2.2665 (avg 1.9931) | Batch 0.12s | Elapsed 16s | ETA 1h 21m 35s | Samples/s 131
[Epoch 1/3] Step 101/29259 | Loss 2.1167 (avg 1.9943) | Batch 0.13s | Elapsed 16s | ETA 1h 21m 22s | Samples/s 127
[Epoch 1/3] Step 102/29259 | Loss 1.8616 (avg 1.9930) | Batch 0.12s | Elapsed 17s | ETA 1h 21m 10s | Samples/s 129
[Epoch 1/3] Step 103/29259 | Loss 1.9412 (avg 1.9925) | Batch 0.13s | Elapsed 17s | ETA 1h 20m 58s | Samples/s 127
[Epoch 1/3] Step 104/29259 | Loss 2.1833 (avg 1.9943) | Batch 0.12s | Elapsed 17s | ETA 1h 20m 46s | Samples/s 130
[Epoch 1/3] Step 105/29259 | Loss 2.2204 (avg 1.9965) | Batch 0.12s | Elapsed 17s | ETA 1h 20m 34s | Samples/s 130
[Epoch 1/3] Step 106/29259 | Loss 1.9531 (avg 1.9961) | Batch 0.12s | Elapsed 17s | ETA 1h 20m 23s | Samples/s 129
[Epoch 1/3] Step 107/29259 | Loss 1.8658 (avg 1.9949) | Batch 0.13s | Elapsed 17s | ETA 1h 20m 12s | Samples/s 127
[Epoch 1/3] Step 108/29259 | Loss 1.9057 (avg 1.9940) | Batch 0.12s | Elapsed 17s | ETA 1h 20m 1s | Samples/s 130
[Epoch 1/3] Step 109/29259 | Loss 1.9851 (avg 1.9940) | Batch 0.13s | Elapsed 17s | ETA 1h 19m 50s | Samples/s 127
[Epoch 1/3] Step 110/29259 | Loss 1.8806 (avg 1.9929) | Batch 0.12s | Elapsed 18s | ETA 1h 19m 39s | Samples/s 130
[Epoch 1/3] Step 111/29259 | Loss 1.6416 (avg 1.9898) | Batch 0.12s | Elapsed 18s | ETA 1h 19m 29s | Samples/s 129
[Epoch 1/3] Step 112/29259 | Loss 1.8589 (avg 1.9886) | Batch 0.13s | Elapsed 18s | ETA 1h 19m 19s | Samples/s 127
[Epoch 1/3] Step 113/29259 | Loss 2.0385 (avg 1.9890) | Batch 0.12s | Elapsed 18s | ETA 1h 19m 9s | Samples/s 129
[Epoch 1/3] Step 114/29259 | Loss 1.8284 (avg 1.9876) | Batch 0.13s | Elapsed 18s | ETA 1h 18m 59s | Samples/s 127
[Epoch 1/3] Step 115/29259 | Loss 1.9213 (avg 1.9871) | Batch 0.12s | Elapsed 18s | ETA 1h 18m 49s | Samples/s 129
[Epoch 1/3] Step 116/29259 | Loss 1.9789 (avg 1.9870) | Batch 0.13s | Elapsed 18s | ETA 1h 18m 40s | Samples/s 127
[Epoch 1/3] Step 117/29259 | Loss 1.9125 (avg 1.9864) | Batch 0.13s | Elapsed 18s | ETA 1h 18m 31s | Samples/s 126
[Epoch 1/3] Step 118/29259 | Loss 2.0034 (avg 1.9865) | Batch 0.12s | Elapsed 19s | ETA 1h 18m 22s | Samples/s 129
[Epoch 1/3] Step 119/29259 | Loss 1.9733 (avg 1.9864) | Batch 0.13s | Elapsed 19s | ETA 1h 18m 14s | Samples/s 128
[Epoch 1/3] Step 120/29259 | Loss 1.9496 (avg 1.9861) | Batch 0.12s | Elapsed 19s | ETA 1h 18m 5s | Samples/s 128
[Epoch 1/3] Step 121/29259 | Loss 2.0241 (avg 1.9864) | Batch 0.12s | Elapsed 19s | ETA 1h 17m 56s | Samples/s 130
[Epoch 1/3] Step 122/29259 | Loss 1.9069 (avg 1.9857) | Batch 0.13s | Elapsed 19s | ETA 1h 17m 47s | Samples/s 128
[Epoch 1/3] Step 123/29259 | Loss 2.1012 (avg 1.9867) | Batch 0.13s | Elapsed 19s | ETA 1h 17m 39s | Samples/s 127
[Epoch 1/3] Step 124/29259 | Loss 2.0481 (avg 1.9872) | Batch 0.12s | Elapsed 19s | ETA 1h 17m 31s | Samples/s 129
[Epoch 1/3] Step 125/29259 | Loss 2.0024 (avg 1.9873) | Batch 0.12s | Elapsed 19s | ETA 1h 17m 22s | Samples/s 129
[Epoch 1/3] Step 126/29259 | Loss 1.9988 (avg 1.9874) | Batch 0.12s | Elapsed 20s | ETA 1h 17m 14s | Samples/s 130
[Epoch 1/3] Step 127/29259 | Loss 1.9562 (avg 1.9871) | Batch 0.12s | Elapsed 20s | ETA 1h 17m 6s | Samples/s 129
[Epoch 1/3] Step 128/29259 | Loss 1.7503 (avg 1.9853) | Batch 0.13s | Elapsed 20s | ETA 1h 16m 58s | Samples/s 126
[Epoch 1/3] Step 129/29259 | Loss 2.1991 (avg 1.9869) | Batch 0.12s | Elapsed 20s | ETA 1h 16m 50s | Samples/s 130
[Epoch 1/3] Step 130/29259 | Loss 1.9618 (avg 1.9868) | Batch 0.12s | Elapsed 20s | ETA 1h 16m 42s | Samples/s 129
[Epoch 1/3] Step 131/29259 | Loss 1.9417 (avg 1.9864) | Batch 0.13s | Elapsed 20s | ETA 1h 16m 35s | Samples/s 127
[Epoch 1/3] Step 132/29259 | Loss 1.8114 (avg 1.9851) | Batch 0.12s | Elapsed 20s | ETA 1h 16m 28s | Samples/s 129
[Epoch 1/3] Step 133/29259 | Loss 1.8294 (avg 1.9839) | Batch 0.12s | Elapsed 20s | ETA 1h 16m 20s | Samples/s 129
[Epoch 1/3] Step 134/29259 | Loss 1.8746 (avg 1.9831) | Batch 0.13s | Elapsed 21s | ETA 1h 16m 14s | Samples/s 127
[Epoch 1/3] Step 135/29259 | Loss 1.7218 (avg 1.9812) | Batch 0.12s | Elapsed 21s | ETA 1h 16m 6s | Samples/s 129
[Epoch 1/3] Step 136/29259 | Loss 1.8438 (avg 1.9802) | Batch 0.12s | Elapsed 21s | ETA 1h 15m 59s | Samples/s 129
[Epoch 1/3] Step 137/29259 | Loss 1.8850 (avg 1.9795) | Batch 0.12s | Elapsed 21s | ETA 1h 15m 52s | Samples/s 130
[Epoch 1/3] Step 138/29259 | Loss 1.8869 (avg 1.9788) | Batch 0.13s | Elapsed 21s | ETA 1h 15m 46s | Samples/s 127
[Epoch 1/3] Step 139/29259 | Loss 1.7771 (avg 1.9773) | Batch 0.12s | Elapsed 21s | ETA 1h 15m 38s | Samples/s 130
