[DEVICE] cuda
[GPU] NVIDIA H100 PCIe | VRAM 85.0GB
[MODEL] Loading processors...
[DATA] Building cached datasets...
[CACHE] Loading llava.pt into RAM...
[CACHE] llava.pt loaded in 4s (81479 tensors)
[LLaVA-Instruct] 361411 samples from 157712 records
[CACHE] Loading gqa_train.pt into RAM...
[CACHE] gqa_train.pt loaded in 3s (72140 tensors)
[GQA Train] 72140 unique image samples
[CACHE] Loading textvqa_train.pt into RAM...
[CACHE] textvqa_train.pt loaded in 1s (34602 tensors)
/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[TextVQA] 34602 samples from ../data/textvqa_train_disk
[DATA] Total train samples: 468153
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 8409.20it/s]
[MODEL] Building proj2 (768→896 via 2048)...
[MODEL] Trainable: 501.6M params

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (7314 batches)

[Epoch 1/3] Step 1/7314 | Loss 2.6713 (avg 2.6713) | Batch 1.11s | Elapsed 1s | ETA 3h 21m 51s | Samples/s 58
[Epoch 1/3] Step 2/7314 | Loss 2.3367 (avg 2.5040) | Batch 0.41s | Elapsed 2s | ETA 2h 5m 52s | Samples/s 156
[Epoch 1/3] Step 3/7314 | Loss 2.4009 (avg 2.4697) | Batch 0.41s | Elapsed 2s | ETA 1h 40m 22s | Samples/s 158
[Epoch 1/3] Step 4/7314 | Loss 2.3611 (avg 2.4425) | Batch 0.41s | Elapsed 2s | ETA 1h 27m 37s | Samples/s 158
[Epoch 1/3] Step 5/7314 | Loss 2.3268 (avg 2.4194) | Batch 0.40s | Elapsed 3s | ETA 1h 19m 57s | Samples/s 158
[Epoch 1/3] Step 6/7314 | Loss 2.1687 (avg 2.3776) | Batch 0.41s | Elapsed 3s | ETA 1h 14m 53s | Samples/s 157
[Epoch 1/3] Step 7/7314 | Loss 2.1253 (avg 2.3416) | Batch 0.40s | Elapsed 4s | ETA 1h 11m 12s | Samples/s 158
[Epoch 1/3] Step 8/7314 | Loss 2.1153 (avg 2.3133) | Batch 0.41s | Elapsed 4s | ETA 1h 8m 31s | Samples/s 157
[Epoch 1/3] Step 9/7314 | Loss 2.1783 (avg 2.2983) | Batch 0.41s | Elapsed 4s | ETA 1h 6m 24s | Samples/s 157
[Epoch 1/3] Step 10/7314 | Loss 2.0999 (avg 2.2784) | Batch 0.41s | Elapsed 5s | ETA 1h 4m 42s | Samples/s 158
[Epoch 1/3] Step 11/7314 | Loss 1.9765 (avg 2.2510) | Batch 0.41s | Elapsed 5s | ETA 1h 3m 17s | Samples/s 158
