/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...

Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 199/199 [00:00<00:00, 50405.61it/s]
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 9038.44it/s]
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 58/29259 | Loss 1.8568 (avg 1.8797) | Elapsed 34s | ETA 4h 52m 24s | Samples/s 27
[Epoch 1/3] Step 59/29259 | Loss 1.9132 (avg 1.8803) | Elapsed 35s | ETA 4h 52m 10s | Samples/s 27
[Epoch 1/3] Step 60/29259 | Loss 1.7552 (avg 1.8782) | Elapsed 35s | ETA 4h 51m 58s | Samples/s 27
[Epoch 1/3] Step 61/29259 | Loss 1.9779 (avg 1.8798) | Elapsed 36s | ETA 4h 51m 44s | Samples/s 27
[Epoch 1/3] Step 62/29259 | Loss 1.9314 (avg 1.8806) | Elapsed 37s | ETA 4h 51m 33s | Samples/s 27
[Epoch 1/3] Step 63/29259 | Loss 1.8142 (avg 1.8796) | Elapsed 37s | ETA 4h 51m 22s | Samples/s 27
[Epoch 1/3] Step 64/29259 | Loss 1.9029 (avg 1.8800) | Elapsed 38s | ETA 4h 51m 12s | Samples/s 27
[Epoch 1/3] Step 65/29259 | Loss 1.9052 (avg 1.8803) | Elapsed 38s | ETA 4h 51m 1s | Samples/s 27
[Epoch 1/3] Step 66/29259 | Loss 2.0244 (avg 1.8825) | Elapsed 39s | ETA 4h 50m 53s | Samples/s 27
[Epoch 1/3] Step 67/29259 | Loss 1.8376 (avg 1.8819) | Elapsed 40s | ETA 4h 50m 44s | Samples/s 27
[Epoch 1/3] Step 68/29259 | Loss 1.9137 (avg 1.8823) | Elapsed 40s | ETA 4h 50m 36s | Samples/s 27
[Epoch 1/3] Step 69/29259 | Loss 1.8056 (avg 1.8812) | Elapsed 41s | ETA 4h 50m 28s | Samples/s 27
[Epoch 1/3] Step 70/29259 | Loss 2.0948 (avg 1.8843) | Elapsed 41s | ETA 4h 50m 20s | Samples/s 27
[Epoch 1/3] Step 71/29259 | Loss 1.6690 (avg 1.8812) | Elapsed 42s | ETA 4h 50m 12s | Samples/s 27
[Epoch 1/3] Step 72/29259 | Loss 1.8162 (avg 1.8803) | Elapsed 42s | ETA 4h 50m 5s | Samples/s 27
[Epoch 1/3] Step 73/29259 | Loss 1.8505 (avg 1.8799) | Elapsed 43s | ETA 4h 49m 57s | Samples/s 27
[Epoch 1/3] Step 74/29259 | Loss 1.7125 (avg 1.8777) | Elapsed 44s | ETA 4h 49m 51s | Samples/s 27
[Epoch 1/3] Step 75/29259 | Loss 1.5939 (avg 1.8739) | Elapsed 44s | ETA 4h 49m 44s | Samples/s 27
[Epoch 1/3] Step 76/29259 | Loss 1.7096 (avg 1.8717) | Elapsed 45s | ETA 4h 49m 38s | Samples/s 27
[Epoch 1/3] Step 77/29259 | Loss 1.7852 (avg 1.8706) | Elapsed 45s | ETA 4h 49m 32s | Samples/s 27
[Epoch 1/3] Step 78/29259 | Loss 1.8859 (avg 1.8708) | Elapsed 46s | ETA 4h 49m 26s | Samples/s 27
[Epoch 1/3] Step 79/29259 | Loss 1.7617 (avg 1.8694) | Elapsed 46s | ETA 4h 49m 19s | Samples/s 27
[Epoch 1/3] Step 80/29259 | Loss 1.8398 (avg 1.8690) | Elapsed 47s | ETA 4h 49m 13s | Samples/s 27
[Epoch 1/3] Step 81/29259 | Loss 1.8660 (avg 1.8690) | Elapsed 48s | ETA 4h 49m 8s | Samples/s 27
[Epoch 1/3] Step 82/29259 | Loss 1.8243 (avg 1.8685) | Elapsed 48s | ETA 4h 49m 2s | Samples/s 27
[Epoch 1/3] Step 83/29259 | Loss 1.8728 (avg 1.8685) | Elapsed 49s | ETA 4h 48m 56s | Samples/s 27
[Epoch 1/3] Step 84/29259 | Loss 1.8914 (avg 1.8688) | Elapsed 49s | ETA 4h 48m 50s | Samples/s 27
[Epoch 1/3] Step 85/29259 | Loss 1.9355 (avg 1.8696) | Elapsed 50s | ETA 4h 48m 44s | Samples/s 27
[Epoch 1/3] Step 86/29259 | Loss 1.8255 (avg 1.8691) | Elapsed 51s | ETA 4h 48m 39s | Samples/s 27
[Epoch 1/3] Step 87/29259 | Loss 1.8488 (avg 1.8688) | Elapsed 51s | ETA 4h 48m 35s | Samples/s 27
[Epoch 1/3] Step 88/29259 | Loss 1.7033 (avg 1.8669) | Elapsed 52s | ETA 4h 48m 30s | Samples/s 27
[Epoch 1/3] Step 89/29259 | Loss 1.8317 (avg 1.8665) | Elapsed 52s | ETA 4h 48m 25s | Samples/s 27
[Epoch 1/3] Step 90/29259 | Loss 1.9788 (avg 1.8678) | Elapsed 53s | ETA 4h 48m 20s | Samples/s 27
