[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building cached datasets...
[CACHE] Loading llava.pt into RAM...
[CACHE] llava.pt loaded in 4s (81479 tensors)
[LLaVA-Instruct] 361411 samples from 157712 records
[CACHE] Loading gqa_train.pt into RAM...
[CACHE] gqa_train.pt loaded in 3s (72140 tensors)
[GQA Train] 72140 unique image samples
[CACHE] Loading textvqa_train.pt into RAM...
[CACHE] textvqa_train.pt loaded in 1s (34602 tensors)
/home/rs/24CS91R08/miniconda3/envs/venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
[TextVQA] 34602 samples from ../data/textvqa_train_disk
[DATA] Total train samples: 468153
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 8666.29it/s]
[MODEL] Building proj2 (768→896 via 2048)...
[MODEL] Trainable: 501.6M params

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 1/29259 | Loss 2.5364 (avg 2.5364) | Batch 0.88s | Elapsed 1s | ETA 10h 21m 18s | Samples/s 18
[Epoch 1/3] Step 2/29259 | Loss 2.5486 (avg 2.5425) | Batch 0.54s | Elapsed 1s | ETA 7h 22m 23s | Samples/s 30
[Epoch 1/3] Step 3/29259 | Loss 2.4326 (avg 2.5059) | Batch 0.55s | Elapsed 2s | ETA 6h 23m 50s | Samples/s 29
[Epoch 1/3] Step 4/29259 | Loss 2.1453 (avg 2.4157) | Batch 0.55s | Elapsed 2s | ETA 5h 54m 55s | Samples/s 29
[Epoch 1/3] Step 5/29259 | Loss 2.3513 (avg 2.4028) | Batch 0.55s | Elapsed 3s | ETA 5h 37m 19s | Samples/s 29
[Epoch 1/3] Step 6/29259 | Loss 2.0048 (avg 2.3365) | Batch 0.55s | Elapsed 4s | ETA 5h 25m 41s | Samples/s 29
[Epoch 1/3] Step 7/29259 | Loss 2.2547 (avg 2.3248) | Batch 0.55s | Elapsed 4s | ETA 5h 17m 22s | Samples/s 29
[Epoch 1/3] Step 8/29259 | Loss 2.1663 (avg 2.3050) | Batch 0.55s | Elapsed 5s | ETA 5h 11m 11s | Samples/s 29
[Epoch 1/3] Step 9/29259 | Loss 2.4797 (avg 2.3244) | Batch 0.55s | Elapsed 5s | ETA 5h 6m 22s | Samples/s 29
[Epoch 1/3] Step 10/29259 | Loss 2.1918 (avg 2.3112) | Batch 0.55s | Elapsed 6s | ETA 5h 2m 27s | Samples/s 29
[Epoch 1/3] Step 11/29259 | Loss 2.1478 (avg 2.2963) | Batch 0.55s | Elapsed 6s | ETA 4h 59m 26s | Samples/s 29
[Epoch 1/3] Step 12/29259 | Loss 2.2382 (avg 2.2915) | Batch 0.55s | Elapsed 7s | ETA 4h 56m 45s | Samples/s 29
[Epoch 1/3] Step 13/29259 | Loss 2.2398 (avg 2.2875) | Batch 0.55s | Elapsed 7s | ETA 4h 54m 32s | Samples/s 29
[Epoch 1/3] Step 14/29259 | Loss 2.2189 (avg 2.2826) | Batch 0.54s | Elapsed 8s | ETA 4h 52m 26s | Samples/s 29
[Epoch 1/3] Step 15/29259 | Loss 2.1394 (avg 2.2730) | Batch 0.55s | Elapsed 8s | ETA 4h 50m 57s | Samples/s 29
[Epoch 1/3] Step 16/29259 | Loss 2.0732 (avg 2.2606) | Batch 0.55s | Elapsed 9s | ETA 4h 49m 34s | Samples/s 29
[Epoch 1/3] Step 17/29259 | Loss 2.0104 (avg 2.2458) | Batch 0.55s | Elapsed 10s | ETA 4h 48m 17s | Samples/s 29
[Epoch 1/3] Step 18/29259 | Loss 2.0464 (avg 2.2348) | Batch 0.55s | Elapsed 10s | ETA 4h 47m 10s | Samples/s 29
[Epoch 1/3] Step 19/29259 | Loss 2.0963 (avg 2.2275) | Batch 0.55s | Elapsed 11s | ETA 4h 46m 9s | Samples/s 29
[Epoch 1/3] Step 20/29259 | Loss 2.1805 (avg 2.2251) | Batch 0.55s | Elapsed 11s | ETA 4h 45m 15s | Samples/s 29
[Epoch 1/3] Step 21/29259 | Loss 1.8771 (avg 2.2086) | Batch 0.55s | Elapsed 12s | ETA 4h 44m 27s | Samples/s 29
[Epoch 1/3] Step 22/29259 | Loss 2.1475 (avg 2.2058) | Batch 0.55s | Elapsed 12s | ETA 4h 43m 44s | Samples/s 29
[Epoch 1/3] Step 23/29259 | Loss 1.8161 (avg 2.1888) | Batch 0.55s | Elapsed 13s | ETA 4h 43m 4s | Samples/s 29
[Epoch 1/3] Step 24/29259 | Loss 1.9231 (avg 2.1778) | Batch 0.55s | Elapsed 13s | ETA 4h 42m 27s | Samples/s 29
[Epoch 1/3] Step 25/29259 | Loss 2.0778 (avg 2.1738) | Batch 0.55s | Elapsed 14s | ETA 4h 41m 53s | Samples/s 29
[Epoch 1/3] Step 26/29259 | Loss 1.7351 (avg 2.1569) | Batch 0.55s | Elapsed 15s | ETA 4h 41m 22s | Samples/s 29
[Epoch 1/3] Step 27/29259 | Loss 1.8333 (avg 2.1449) | Batch 0.55s | Elapsed 15s | ETA 4h 40m 57s | Samples/s 29
[Epoch 1/3] Step 28/29259 | Loss 2.0168 (avg 2.1403) | Batch 0.55s | Elapsed 16s | ETA 4h 40m 31s | Samples/s 29
[Epoch 1/3] Step 29/29259 | Loss 1.8116 (avg 2.1290) | Batch 0.55s | Elapsed 16s | ETA 4h 40m 7s | Samples/s 29
[Epoch 1/3] Step 30/29259 | Loss 1.8877 (avg 2.1210) | Batch 0.55s | Elapsed 17s | ETA 4h 39m 46s | Samples/s 29
[Epoch 1/3] Step 31/29259 | Loss 2.0322 (avg 2.1181) | Batch 0.55s | Elapsed 17s | ETA 4h 39m 27s | Samples/s 29
[Epoch 1/3] Step 32/29259 | Loss 1.8604 (avg 2.1100) | Batch 0.55s | Elapsed 18s | ETA 4h 39m 6s | Samples/s 29
[Epoch 1/3] Step 33/29259 | Loss 1.9528 (avg 2.1053) | Batch 0.56s | Elapsed 18s | ETA 4h 38m 50s | Samples/s 29
[Epoch 1/3] Step 34/29259 | Loss 2.0408 (avg 2.1034) | Batch 0.55s | Elapsed 19s | ETA 4h 38m 34s | Samples/s 29
[Epoch 1/3] Step 35/29259 | Loss 1.9570 (avg 2.0992) | Batch 0.55s | Elapsed 19s | ETA 4h 38m 17s | Samples/s 29
[Epoch 1/3] Step 36/29259 | Loss 1.7819 (avg 2.0904) | Batch 0.56s | Elapsed 20s | ETA 4h 38m 3s | Samples/s 29
[Epoch 1/3] Step 37/29259 | Loss 1.8699 (avg 2.0844) | Batch 0.55s | Elapsed 21s | ETA 4h 37m 49s | Samples/s 29
[Epoch 1/3] Step 38/29259 | Loss 1.8745 (avg 2.0789) | Batch 0.56s | Elapsed 21s | ETA 4h 37m 37s | Samples/s 29
[Epoch 1/3] Step 39/29259 | Loss 1.8425 (avg 2.0728) | Batch 0.56s | Elapsed 22s | ETA 4h 37m 26s | Samples/s 29
[Epoch 1/3] Step 40/29259 | Loss 2.0494 (avg 2.0723) | Batch 0.56s | Elapsed 22s | ETA 4h 37m 15s | Samples/s 29
[Epoch 1/3] Step 41/29259 | Loss 2.2728 (avg 2.0771) | Batch 0.55s | Elapsed 23s | ETA 4h 37m 4s | Samples/s 29
[Epoch 1/3] Step 42/29259 | Loss 1.5988 (avg 2.0658) | Batch 0.56s | Elapsed 23s | ETA 4h 36m 55s | Samples/s 29
[Epoch 1/3] Step 43/29259 | Loss 1.6409 (avg 2.0559) | Batch 0.55s | Elapsed 24s | ETA 4h 36m 45s | Samples/s 29
[Epoch 1/3] Step 44/29259 | Loss 1.8077 (avg 2.0502) | Batch 0.56s | Elapsed 24s | ETA 4h 36m 38s | Samples/s 29
[Epoch 1/3] Step 45/29259 | Loss 1.9467 (avg 2.0479) | Batch 0.55s | Elapsed 25s | ETA 4h 36m 29s | Samples/s 29
[Epoch 1/3] Step 46/29259 | Loss 2.0362 (avg 2.0477) | Batch 0.56s | Elapsed 26s | ETA 4h 36m 22s | Samples/s 29
[Epoch 1/3] Step 47/29259 | Loss 1.7938 (avg 2.0423) | Batch 0.56s | Elapsed 26s | ETA 4h 36m 14s | Samples/s 29
[Epoch 1/3] Step 48/29259 | Loss 1.9776 (avg 2.0409) | Batch 0.56s | Elapsed 27s | ETA 4h 36m 7s | Samples/s 29
