[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...

Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 199/199 [00:00<00:00, 50509.32it/s]
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 9920.06it/s]
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/5
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/5] Step 52/29259 | Loss 1.8863 (avg 1.8877) | Elapsed 30s | ETA 4h 48m 29s | Samples/s 27
[Epoch 1/5] Step 53/29259 | Loss 1.8125 (avg 1.8863) | Elapsed 31s | ETA 4h 48m 17s | Samples/s 27
[Epoch 1/5] Step 54/29259 | Loss 1.6666 (avg 1.8822) | Elapsed 31s | ETA 4h 48m 6s | Samples/s 27
[Epoch 1/5] Step 55/29259 | Loss 1.8327 (avg 1.8813) | Elapsed 32s | ETA 4h 47m 55s | Samples/s 27
[Epoch 1/5] Step 56/29259 | Loss 1.9392 (avg 1.8823) | Elapsed 33s | ETA 4h 47m 43s | Samples/s 27
[Epoch 1/5] Step 57/29259 | Loss 1.7476 (avg 1.8800) | Elapsed 33s | ETA 4h 47m 33s | Samples/s 27
[Epoch 1/5] Step 58/29259 | Loss 1.8587 (avg 1.8796) | Elapsed 34s | ETA 4h 47m 23s | Samples/s 27
[Epoch 1/5] Step 59/29259 | Loss 1.9130 (avg 1.8802) | Elapsed 34s | ETA 4h 47m 14s | Samples/s 27
[Epoch 1/5] Step 60/29259 | Loss 1.7547 (avg 1.8781) | Elapsed 35s | ETA 4h 47m 5s | Samples/s 27
[Epoch 1/5] Step 61/29259 | Loss 1.9728 (avg 1.8796) | Elapsed 35s | ETA 4h 46m 55s | Samples/s 27
[Epoch 1/5] Step 62/29259 | Loss 1.9323 (avg 1.8805) | Elapsed 36s | ETA 4h 46m 46s | Samples/s 27
[Epoch 1/5] Step 63/29259 | Loss 1.8184 (avg 1.8795) | Elapsed 37s | ETA 4h 46m 39s | Samples/s 27
[Epoch 1/5] Step 64/29259 | Loss 1.9037 (avg 1.8799) | Elapsed 37s | ETA 4h 46m 33s | Samples/s 27
[Epoch 1/5] Step 65/29259 | Loss 1.9074 (avg 1.8803) | Elapsed 38s | ETA 4h 46m 25s | Samples/s 27
[Epoch 1/5] Step 66/29259 | Loss 2.0252 (avg 1.8825) | Elapsed 38s | ETA 4h 46m 19s | Samples/s 27
[Epoch 1/5] Step 67/29259 | Loss 1.8413 (avg 1.8819) | Elapsed 39s | ETA 4h 46m 12s | Samples/s 27
[Epoch 1/5] Step 68/29259 | Loss 1.9117 (avg 1.8823) | Elapsed 39s | ETA 4h 46m 10s | Samples/s 27
[Epoch 1/5] Step 69/29259 | Loss 1.8084 (avg 1.8812) | Elapsed 40s | ETA 4h 46m 4s | Samples/s 27
[Epoch 1/5] Step 70/29259 | Loss 2.0847 (avg 1.8842) | Elapsed 41s | ETA 4h 45m 57s | Samples/s 27
[Epoch 1/5] Step 71/29259 | Loss 1.6703 (avg 1.8811) | Elapsed 41s | ETA 4h 45m 51s | Samples/s 27
[Epoch 1/5] Step 72/29259 | Loss 1.8144 (avg 1.8802) | Elapsed 42s | ETA 4h 45m 47s | Samples/s 27
[Epoch 1/5] Step 73/29259 | Loss 1.8540 (avg 1.8799) | Elapsed 42s | ETA 4h 45m 42s | Samples/s 27
[Epoch 1/5] Step 74/29259 | Loss 1.7106 (avg 1.8776) | Elapsed 43s | ETA 4h 45m 38s | Samples/s 27
[Epoch 1/5] Step 75/29259 | Loss 1.5987 (avg 1.8738) | Elapsed 44s | ETA 4h 45m 29s | Samples/s 27
[Epoch 1/5] Step 76/29259 | Loss 1.7149 (avg 1.8718) | Elapsed 44s | ETA 4h 45m 23s | Samples/s 27
[Epoch 1/5] Step 77/29259 | Loss 1.7883 (avg 1.8707) | Elapsed 45s | ETA 4h 45m 19s | Samples/s 27
[Epoch 1/5] Step 78/29259 | Loss 1.8843 (avg 1.8708) | Elapsed 45s | ETA 4h 45m 16s | Samples/s 27
[Epoch 1/5] Step 79/29259 | Loss 1.7627 (avg 1.8695) | Elapsed 46s | ETA 4h 45m 13s | Samples/s 27
[Epoch 1/5] Step 80/29259 | Loss 1.8450 (avg 1.8692) | Elapsed 46s | ETA 4h 45m 9s | Samples/s 27
[Epoch 1/5] Step 81/29259 | Loss 1.8695 (avg 1.8692) | Elapsed 47s | ETA 4h 45m 6s | Samples/s 27
[Epoch 1/5] Step 82/29259 | Loss 1.8316 (avg 1.8687) | Elapsed 48s | ETA 4h 45m 2s | Samples/s 27
[Epoch 1/5] Step 83/29259 | Loss 1.8689 (avg 1.8687) | Elapsed 48s | ETA 4h 44m 57s | Samples/s 27
[Epoch 1/5] Step 84/29259 | Loss 1.8929 (avg 1.8690) | Elapsed 49s | ETA 4h 44m 55s | Samples/s 27
[Epoch 1/5] Step 85/29259 | Loss 1.9324 (avg 1.8698) | Elapsed 49s | ETA 4h 44m 51s | Samples/s 27
[Epoch 1/5] Step 86/29259 | Loss 1.8292 (avg 1.8693) | Elapsed 50s | ETA 4h 44m 48s | Samples/s 27
[Epoch 1/5] Step 87/29259 | Loss 1.8551 (avg 1.8691) | Elapsed 50s | ETA 4h 44m 45s | Samples/s 27
[Epoch 1/5] Step 88/29259 | Loss 1.7111 (avg 1.8673) | Elapsed 51s | ETA 4h 44m 42s | Samples/s 27
[Epoch 1/5] Step 89/29259 | Loss 1.8105 (avg 1.8667) | Elapsed 52s | ETA 4h 44m 40s | Samples/s 27
