[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building cached datasets...
[CACHE] Loading llava.pt into RAM...
[CACHE] llava.pt loaded in 4s (81479 tensors)
[LLaVA-Instruct] 361411 samples from 157712 records
[CACHE] Loading gqa_train.pt into RAM...
[CACHE] gqa_train.pt loaded in 3s (72140 tensors)
[GQA Train] 72140 unique image samples
[CACHE] Loading textvqa_train.pt into RAM...
[CACHE] textvqa_train.pt loaded in 1s (34602 tensors)
[TextVQA] 34602 samples from ../data/textvqa_train_disk
[DATA] Total train samples: 468153
[MODEL] Loading Qwen (trainable)...

Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 9258.46it/s]
[MODEL] Building proj2 (768→896 via 2048)...
[MODEL] Trainable: 501.6M params

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 1/29259 | Loss 2.5364 (avg 2.5364) | Batch 2.42s | Elapsed 2s | ETA 20h 49m 35s | Samples/s 7
[Epoch 1/3] Step 2/29259 | Loss 2.5486 (avg 2.5425) | Batch 0.55s | Elapsed 3s | ETA 12h 38m 14s | Samples/s 29
[Epoch 1/3] Step 3/29259 | Loss 2.4326 (avg 2.5059) | Batch 0.55s | Elapsed 3s | ETA 9h 54m 37s | Samples/s 29
[Epoch 1/3] Step 4/29259 | Loss 2.1453 (avg 2.4157) | Batch 0.55s | Elapsed 4s | ETA 8h 32m 42s | Samples/s 29
[Epoch 1/3] Step 5/29259 | Loss 2.3513 (avg 2.4028) | Batch 0.55s | Elapsed 4s | ETA 7h 43m 55s | Samples/s 29
[Epoch 1/3] Step 6/29259 | Loss 2.0048 (avg 2.3365) | Batch 0.55s | Elapsed 5s | ETA 7h 10m 57s | Samples/s 29
[Epoch 1/3] Step 7/29259 | Loss 2.2547 (avg 2.3248) | Batch 0.55s | Elapsed 5s | ETA 6h 47m 31s | Samples/s 29
[Epoch 1/3] Step 8/29259 | Loss 2.1664 (avg 2.3050) | Batch 0.55s | Elapsed 6s | ETA 6h 30m 9s | Samples/s 29
[Epoch 1/3] Step 9/29259 | Loss 2.4799 (avg 2.3244) | Batch 0.55s | Elapsed 6s | ETA 6h 16m 31s | Samples/s 29
[Epoch 1/3] Step 10/29259 | Loss 2.1946 (avg 2.3115) | Batch 0.55s | Elapsed 7s | ETA 6h 5m 40s | Samples/s 29
[Epoch 1/3] Step 11/29259 | Loss 2.1504 (avg 2.2968) | Batch 0.55s | Elapsed 8s | ETA 5h 56m 50s | Samples/s 29
[Epoch 1/3] Step 12/29259 | Loss 2.2359 (avg 2.2917) | Batch 0.55s | Elapsed 8s | ETA 5h 49m 21s | Samples/s 29
[Epoch 1/3] Step 13/29259 | Loss 2.2410 (avg 2.2878) | Batch 0.55s | Elapsed 9s | ETA 5h 43m 9s | Samples/s 29
[Epoch 1/3] Step 14/29259 | Loss 2.2237 (avg 2.2833) | Batch 0.55s | Elapsed 9s | ETA 5h 37m 48s | Samples/s 29
[Epoch 1/3] Step 15/29259 | Loss 2.1369 (avg 2.2735) | Batch 0.55s | Elapsed 10s | ETA 5h 33m 17s | Samples/s 29
[Epoch 1/3] Step 16/29259 | Loss 2.0714 (avg 2.2609) | Batch 0.55s | Elapsed 10s | ETA 5h 29m 18s | Samples/s 29
[Epoch 1/3] Step 17/29259 | Loss 2.0063 (avg 2.2459) | Batch 0.55s | Elapsed 11s | ETA 5h 25m 46s | Samples/s 29
[Epoch 1/3] Step 18/29259 | Loss 2.0488 (avg 2.2349) | Batch 0.55s | Elapsed 11s | ETA 5h 22m 38s | Samples/s 29
[Epoch 1/3] Step 19/29259 | Loss 2.1824 (avg 2.2322) | Batch 0.55s | Elapsed 12s | ETA 5h 19m 47s | Samples/s 29
[Epoch 1/3] Step 20/29259 | Loss 2.1604 (avg 2.2286) | Batch 0.55s | Elapsed 13s | ETA 5h 17m 13s | Samples/s 29
[Epoch 1/3] Step 21/29259 | Loss 1.8540 (avg 2.2107) | Batch 0.55s | Elapsed 13s | ETA 5h 14m 57s | Samples/s 29
[Epoch 1/3] Step 22/29259 | Loss 2.3070 (avg 2.2151) | Batch 0.55s | Elapsed 14s | ETA 5h 12m 50s | Samples/s 29
[Epoch 1/3] Step 23/29259 | Loss 1.8144 (avg 2.1977) | Batch 0.55s | Elapsed 14s | ETA 5h 10m 58s | Samples/s 29
[Epoch 1/3] Step 24/29259 | Loss 2.4394 (avg 2.2078) | Batch 0.55s | Elapsed 15s | ETA 5h 9m 8s | Samples/s 29
[Epoch 1/3] Step 25/29259 | Loss 2.0955 (avg 2.2033) | Batch 0.55s | Elapsed 15s | ETA 5h 7m 30s | Samples/s 29
[Epoch 1/3] Step 26/29259 | Loss 1.8080 (avg 2.1881) | Batch 0.55s | Elapsed 16s | ETA 5h 6m 2s | Samples/s 29
[Epoch 1/3] Step 27/29259 | Loss 2.2396 (avg 2.1900) | Batch 0.55s | Elapsed 16s | ETA 5h 4m 40s | Samples/s 29
[Epoch 1/3] Step 28/29259 | Loss 2.5797 (avg 2.2039) | Batch 0.55s | Elapsed 17s | ETA 5h 3m 23s | Samples/s 29
[Epoch 1/3] Step 29/29259 | Loss 2.2172 (avg 2.2044) | Batch 0.55s | Elapsed 17s | ETA 5h 2m 6s | Samples/s 29
[Epoch 1/3] Step 30/29259 | Loss 2.3680 (avg 2.2098) | Batch 0.56s | Elapsed 18s | ETA 5h 1m 4s | Samples/s 29
[Epoch 1/3] Step 31/29259 | Loss 2.5703 (avg 2.2214) | Batch 0.56s | Elapsed 19s | ETA 5h 0m 6s | Samples/s 29
[Epoch 1/3] Step 32/29259 | Loss 2.1803 (avg 2.2202) | Batch 0.55s | Elapsed 19s | ETA 4h 59m 9s | Samples/s 29
[Epoch 1/3] Step 33/29259 | Loss 2.0263 (avg 2.2143) | Batch 0.55s | Elapsed 20s | ETA 4h 58m 15s | Samples/s 29
[Epoch 1/3] Step 34/29259 | Loss 2.5196 (avg 2.2233) | Batch 0.56s | Elapsed 20s | ETA 4h 57m 29s | Samples/s 29
[Epoch 1/3] Step 35/29259 | Loss 2.0770 (avg 2.2191) | Batch 0.55s | Elapsed 21s | ETA 4h 56m 39s | Samples/s 29
[Epoch 1/3] Step 36/29259 | Loss 1.8665 (avg 2.2093) | Batch 0.56s | Elapsed 21s | ETA 4h 55m 56s | Samples/s 29
[Epoch 1/3] Step 37/29259 | Loss 1.8865 (avg 2.2006) | Batch 0.55s | Elapsed 22s | ETA 4h 55m 13s | Samples/s 29
[Epoch 1/3] Step 38/29259 | Loss 1.8901 (avg 2.1924) | Batch 0.56s | Elapsed 22s | ETA 4h 54m 34s | Samples/s 29
[Epoch 1/3] Step 39/29259 | Loss 1.8951 (avg 2.1848) | Batch 0.56s | Elapsed 23s | ETA 4h 53m 58s | Samples/s 29
[Epoch 1/3] Step 40/29259 | Loss 2.1240 (avg 2.1833) | Batch 0.56s | Elapsed 24s | ETA 4h 53m 22s | Samples/s 29
[Epoch 1/3] Step 41/29259 | Loss 2.2987 (avg 2.1861) | Batch 0.55s | Elapsed 24s | ETA 4h 52m 47s | Samples/s 29
[Epoch 1/3] Step 42/29259 | Loss 1.6497 (avg 2.1733) | Batch 0.56s | Elapsed 25s | ETA 4h 52m 15s | Samples/s 29
[Epoch 1/3] Step 43/29259 | Loss 1.6876 (avg 2.1620) | Batch 0.56s | Elapsed 25s | ETA 4h 51m 46s | Samples/s 29
[Epoch 1/3] Step 44/29259 | Loss 1.8903 (avg 2.1558) | Batch 0.56s | Elapsed 26s | ETA 4h 51m 18s | Samples/s 29
[Epoch 1/3] Step 45/29259 | Loss 2.0295 (avg 2.1530) | Batch 0.55s | Elapsed 26s | ETA 4h 50m 48s | Samples/s 29
[Epoch 1/3] Step 46/29259 | Loss 2.0938 (avg 2.1517) | Batch 0.56s | Elapsed 27s | ETA 4h 50m 23s | Samples/s 29
[Epoch 1/3] Step 47/29259 | Loss 1.8935 (avg 2.1462) | Batch 0.56s | Elapsed 27s | ETA 4h 49m 58s | Samples/s 29
[Epoch 1/3] Step 48/29259 | Loss 2.0445 (avg 2.1441) | Batch 0.56s | Elapsed 28s | ETA 4h 49m 35s | Samples/s 29
[Epoch 1/3] Step 49/29259 | Loss 1.9658 (avg 2.1405) | Batch 0.55s | Elapsed 29s | ETA 4h 49m 9s | Samples/s 29
[Epoch 1/3] Step 50/29259 | Loss 1.7233 (avg 2.1321) | Batch 0.55s | Elapsed 29s | ETA 4h 48m 45s | Samples/s 29
[Epoch 1/3] Step 51/29259 | Loss 2.0243 (avg 2.1300) | Batch 0.56s | Elapsed 30s | ETA 4h 48m 25s | Samples/s 29
[Epoch 1/3] Step 52/29259 | Loss 1.9992 (avg 2.1275) | Batch 0.56s | Elapsed 30s | ETA 4h 48m 5s | Samples/s 29
[Epoch 1/3] Step 53/29259 | Loss 1.9517 (avg 2.1242) | Batch 0.56s | Elapsed 31s | ETA 4h 47m 47s | Samples/s 29
[Epoch 1/3] Step 54/29259 | Loss 1.7636 (avg 2.1175) | Batch 0.56s | Elapsed 31s | ETA 4h 47m 29s | Samples/s 29
