[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples
[GQA Train] 72140 unique image samples
[TextVQA] 34602 samples
[DATA] Total train samples: 468153
[MODEL] Loading CLIP (frozen)...
[MODEL] Loading Qwen (trainable)...
[MODEL] Building proj1 (768→896 via 2048)...
[MODEL] Trainable: 501.6M / Total: 589.1M params
[CKPT] Loading Stage 1 NoGemma proj1 from ../checkpoints/stage1_nogemma/stage1_nogemma_best.pt
  Stage 1 val loss was: 3.3411 (epoch 4)

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (29259 batches)

[Epoch 1/3] Step 1/29259 | Loss 2.4323 (avg 2.4323) | Elapsed 2s | ETA 18h 38m 47s | Samples/s 7
[Epoch 1/3] Step 2/29259 | Loss 2.3175 (avg 2.3749) | Elapsed 2s | ETA 10h 20m 9s | Samples/s 13
[Epoch 1/3] Step 3/29259 | Loss 2.1766 (avg 2.3088) | Elapsed 2s | ETA 7h 34m 28s | Samples/s 17
[Epoch 1/3] Step 4/29259 | Loss 2.0188 (avg 2.2363) | Elapsed 3s | ETA 6h 12m 41s | Samples/s 21
[Epoch 1/3] Step 5/29259 | Loss 1.9850 (avg 2.1860) | Elapsed 3s | ETA 5h 22m 58s | Samples/s 24
[Epoch 1/3] Step 6/29259 | Loss 1.7622 (avg 2.1154) | Elapsed 3s | ETA 4h 49m 54s | Samples/s 27
[Epoch 1/3] Step 7/29259 | Loss 2.0030 (avg 2.0993) | Elapsed 3s | ETA 4h 25m 50s | Samples/s 29
[Epoch 1/3] Step 8/29259 | Loss 1.8907 (avg 2.0733) | Elapsed 4s | ETA 4h 8m 5s | Samples/s 31
[Epoch 1/3] Step 9/29259 | Loss 2.0549 (avg 2.0712) | Elapsed 4s | ETA 3h 54m 0s | Samples/s 33
[Epoch 1/3] Step 10/29259 | Loss 1.9273 (avg 2.0568) | Elapsed 4s | ETA 3h 42m 54s | Samples/s 35
[Epoch 1/3] Step 11/29259 | Loss 1.9467 (avg 2.0468) | Elapsed 4s | ETA 3h 33m 46s | Samples/s 36
