[DEVICE] cuda
[GPU] NVIDIA L40 | VRAM 47.7GB
[MODEL] Loading processors...
[DATA] Building datasets...
[LLaVA-Instruct] 361411 samples from 157712 records
[GQA Train] 943000 samples
[TextVQA] 34602 samples from ../data/textvqa_train_disk
[DATA] Total train samples: 1339013
[MODEL] Loading CLIP...
[MODEL] Loading Gemma (frozen, 24 layers, hidden=768)...
[MODEL] Loading Qwen (trainable, 24 layers, hidden=896)...
[MODEL] Building proj1 (768→768 via 2048) and proj2 (768→896 via 2048)...
[CKPT] Loading Stage 1 proj1 from ../checkpoints/stage1/stage1_best.pt
  Stage 1 val loss was: 2.4596 (epoch 5)
[MODEL] Trainable: 509.0M params

============================================================
EPOCH 1/3
============================================================
[DATA] Starting train loop... (83688 batches)

[Epoch 1/3] Step 1/83688 | Loss 11.1097 (avg 11.1097) | Batch 0.88s | Elapsed 1s | ETA 26h 38m 51s | Samples/s 18
[Epoch 1/3] Step 2/83688 | Loss 12.6392 (avg 11.8744) | Batch 0.47s | Elapsed 1s | ETA 22h 46m 43s | Samples/s 34
[Epoch 1/3] Step 3/83688 | Loss 9.7871 (avg 11.1787) | Batch 0.48s | Elapsed 2s | ETA 21h 41m 23s | Samples/s 33
[Epoch 1/3] Step 4/83688 | Loss 11.6299 (avg 11.2915) | Batch 0.47s | Elapsed 3s | ETA 20h 2m 0s | Samples/s 34
[Epoch 1/3] Step 5/83688 | Loss 5.8277 (avg 10.1987) | Batch 0.47s | Elapsed 4s | ETA 20h 0m 36s | Samples/s 34
[Epoch 1/3] Step 6/83688 | Loss 2.5452 (avg 8.9231) | Batch 0.47s | Elapsed 5s | ETA 19h 30m 54s | Samples/s 34
[Epoch 1/3] Step 7/83688 | Loss 4.1255 (avg 8.2378) | Batch 0.47s | Elapsed 5s | ETA 19h 14m 42s | Samples/s 34
[Epoch 1/3] Step 8/83688 | Loss 0.1596 (avg 7.2280) | Batch 0.47s | Elapsed 6s | ETA 19h 3m 5s | Samples/s 34
[Epoch 1/3] Step 9/83688 | Loss 0.0127 (avg 6.4263) | Batch 0.48s | Elapsed 7s | ETA 18h 55m 22s | Samples/s 34
[Epoch 1/3] Step 10/83688 | Loss 1.2908 (avg 5.9127) | Batch 0.47s | Elapsed 8s | ETA 18h 43m 15s | Samples/s 34
[Epoch 1/3] Step 11/83688 | Loss 0.1084 (avg 5.3851) | Batch 0.47s | Elapsed 8s | ETA 18h 26m 49s | Samples/s 34
[Epoch 1/3] Step 12/83688 | Loss 0.2381 (avg 4.9561) | Batch 0.47s | Elapsed 9s | ETA 18h 13m 23s | Samples/s 34
[Epoch 1/3] Step 13/83688 | Loss 0.5045 (avg 4.6137) | Batch 0.47s | Elapsed 10s | ETA 18h 10m 43s | Samples/s 34
