[Epoch 1/1] Step 104/47728 | Loss 1.1568 (avg 1.5225) | LR 1.46e-06 | Batch 1.55s | Elapsed 2m 35s | ETA 19h 46m 12s | Samples/s 5
[Epoch 1/1] Step 105/47728 | Loss 1.8876 (avg 1.5260) | LR 1.46e-06 | Batch 1.44s | Elapsed 2m 36s | ETA 19h 45m 45s | Samples/s 6
[Epoch 1/1] Step 106/47728 | Loss 1.6245 (avg 1.5269) | LR 1.46e-06 | Batch 1.45s | Elapsed 2m 38s | ETA 19h 45m 24s | Samples/s 6
[Epoch 1/1] Step 107/47728 | Loss 1.3064 (avg 1.5248) | LR 1.46e-06 | Batch 1.46s | Elapsed 2m 39s | ETA 19h 45m 6s | Samples/s 5
[Epoch 1/1] Step 108/47728 | Loss 1.3846 (avg 1.5235) | LR 1.51e-06 | Batch 1.55s | Elapsed 2m 41s | ETA 19h 45m 28s | Samples/s 5
[Epoch 1/1] Step 109/47728 | Loss 1.2412 (avg 1.5210) | LR 1.51e-06 | Batch 1.44s | Elapsed 2m 42s | ETA 19h 45m 4s | Samples/s 6
[Epoch 1/1] Step 110/47728 | Loss 1.3364 (avg 1.5193) | LR 1.51e-06 | Batch 1.45s | Elapsed 2m 44s | ETA 19h 44m 44s | Samples/s 6
[Epoch 1/1] Step 111/47728 | Loss 1.5258 (avg 1.5193) | LR 1.51e-06 | Batch 1.46s | Elapsed 2m 45s | ETA 19h 44m 30s | Samples/s 5
[Epoch 1/1] Step 112/47728 | Loss 1.7017 (avg 1.5210) | LR 1.57e-06 | Batch 1.55s | Elapsed 2m 47s | ETA 19h 44m 54s | Samples/s 5
[Epoch 1/1] Step 113/47728 | Loss 1.1412 (avg 1.5176) | LR 1.57e-06 | Batch 1.44s | Elapsed 2m 48s | ETA 19h 44m 31s | Samples/s 6
[Epoch 1/1] Step 114/47728 | Loss 1.1418 (avg 1.5143) | LR 1.57e-06 | Batch 1.45s | Elapsed 2m 50s | ETA 19h 44m 13s | Samples/s 6
[Epoch 1/1] Step 115/47728 | Loss 1.3832 (avg 1.5132) | LR 1.57e-06 | Batch 1.45s | Elapsed 2m 51s | ETA 19h 43m 56s | Samples/s 6
[Epoch 1/1] Step 116/47728 | Loss 1.2022 (avg 1.5105) | LR 1.62e-06 | Batch 1.55s | Elapsed 2m 53s | ETA 19h 44m 17s | Samples/s 5
[Epoch 1/1] Step 117/47728 | Loss 1.7429 (avg 1.5125) | LR 1.62e-06 | Batch 1.43s | Elapsed 2m 54s | ETA 19h 43m 51s | Samples/s 6
[Epoch 1/1] Step 118/47728 | Loss 0.9364 (avg 1.5076) | LR 1.62e-06 | Batch 1.47s | Elapsed 2m 56s | ETA 19h 43m 39s | Samples/s 5
[Epoch 1/1] Step 119/47728 | Loss 1.9675 (avg 1.5115) | LR 1.62e-06 | Batch 1.45s | Elapsed 2m 57s | ETA 19h 43m 21s | Samples/s 6
[Epoch 1/1] Step 120/47728 | Loss 1.0063 (avg 1.5073) | LR 1.68e-06 | Batch 1.56s | Elapsed 2m 59s | ETA 19h 43m 45s | Samples/s 5
[Epoch 1/1] Step 121/47728 | Loss 1.2848 (avg 1.5054) | LR 1.68e-06 | Batch 1.45s | Elapsed 3m 0s | ETA 19h 43m 26s | Samples/s 6
[Epoch 1/1] Step 122/47728 | Loss 1.5479 (avg 1.5058) | LR 1.68e-06 | Batch 1.45s | Elapsed 3m 1s | ETA 19h 43m 9s | Samples/s 6
[Epoch 1/1] Step 123/47728 | Loss 1.4777 (avg 1.5055) | LR 1.68e-06 | Batch 1.45s | Elapsed 3m 3s | ETA 19h 42m 53s | Samples/s 6
[Epoch 1/1] Step 124/47728 | Loss 1.3976 (avg 1.5047) | LR 1.74e-06 | Batch 1.54s | Elapsed 3m 4s | ETA 19h 43m 12s | Samples/s 5
[Epoch 1/1] Step 125/47728 | Loss 1.3188 (avg 1.5032) | LR 1.74e-06 | Batch 1.43s | Elapsed 3m 6s | ETA 19h 42m 49s | Samples/s 6
[Epoch 1/1] Step 126/47728 | Loss 1.2342 (avg 1.5010) | LR 1.74e-06 | Batch 1.46s | Elapsed 3m 7s | ETA 19h 42m 34s | Samples/s 5
[Epoch 1/1] Step 127/47728 | Loss 1.4163 (avg 1.5004) | LR 1.74e-06 | Batch 1.45s | Elapsed 3m 9s | ETA 19h 42m 19s | Samples/s 6
[Epoch 1/1] Step 128/47728 | Loss 1.1952 (avg 1.4980) | LR 1.79e-06 | Batch 1.55s | Elapsed 3m 10s | ETA 19h 42m 40s | Samples/s 5
[Epoch 1/1] Step 129/47728 | Loss 1.2621 (avg 1.4962) | LR 1.79e-06 | Batch 1.44s | Elapsed 3m 12s | ETA 19h 42m 19s | Samples/s 6
[Epoch 1/1] Step 130/47728 | Loss 1.5504 (avg 1.4966) | LR 1.79e-06 | Batch 1.46s | Elapsed 3m 13s | ETA 19h 42m 6s | Samples/s 5
[Epoch 1/1] Step 131/47728 | Loss 1.2090 (avg 1.4944) | LR 1.79e-06 | Batch 1.46s | Elapsed 3m 15s | ETA 19h 41m 53s | Samples/s 5
[Epoch 1/1] Step 132/47728 | Loss 1.4033 (avg 1.4937) | LR 1.85e-06 | Batch 1.54s | Elapsed 3m 16s | ETA 19h 42m 10s | Samples/s 5
[Epoch 1/1] Step 133/47728 | Loss 1.5278 (avg 1.4939) | LR 1.85e-06 | Batch 1.44s | Elapsed 3m 18s | ETA 19h 41m 50s | Samples/s 6
[Epoch 1/1] Step 134/47728 | Loss 1.6955 (avg 1.4955) | LR 1.85e-06 | Batch 1.45s | Elapsed 3m 19s | ETA 19h 41m 33s | Samples/s 6
[Epoch 1/1] Step 135/47728 | Loss 1.9714 (avg 1.4990) | LR 1.85e-06 | Batch 1.45s | Elapsed 3m 21s | ETA 19h 41m 18s | Samples/s 6
[Epoch 1/1] Step 136/47728 | Loss 1.1446 (avg 1.4964) | LR 1.90e-06 | Batch 1.56s | Elapsed 3m 22s | ETA 19h 41m 40s | Samples/s 5
